X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
-122.189657557405,47.6206458219217,15,350017,0,350,112Th Deli,112Th Deli,1120 112TH AVE NE #125,98004,Bellevue,(206) 498-2652,Seating 13-50,III, , , , ," 
"
-122.35419190054,47.498657374059,16,350018,0,350,"116 Two Zero; Llc. / Salmon Creek Cafe",Salmon Creek Cafe Inc.,11620 AMBAUM BL SW,98146,Seattle,(760) 985-6579,Seating 13-50,III, , , , ," 
"
-122.237681763432,47.7578748198347,17,350019,0,350,11Th Frame Restaurant & Lounge,11Th Frame Restaurant & Lounge,7638 NE BOTHELL WAY,98028,Kenmore,(425) 486-5555,Seating 51-150,III, , , , ," 
"
-122.345307680251,47.7193154500763,18,350020,0,350,125Th St Grill,125Th St Grill,12255 AURORA AVE N,98133,Seattle,(206) 363-8950,Seating 51-150,III, , , , ," 
"
-122.295767971929,47.4415898049335,19,350021,0,350,13 Coins,13 Coins,18000 PACIFIC HWY S,98188,Seattle,(206) 243-9500,Seating 51-150,III, , , , ," 
"
-122.201029457712,47.6182817786653,20,350022,0,350,13 Coins Bellevue,13 Coins Bellevue,900 BELLEVUE WAY NE,98004,Bellevue,(206) 382-1313,Seating > 250,III, , , , ," 
"
-122.331025100372,47.5978868186865,21,350023,0,350,13 Coins Restaurant,13 Coins Restaurant,255 S KING ST,98104,Seattle,(206) 382-1313,Seating 151-250,III, , , , ," 
"
-122.326101450227,47.6398598064228,22,350024,0,350,14 Carrot Cafe,14 Carrot Cafe,2305 EASTLAKE AVE E,98102,Seattle,(206) 324-1442,Seating 51-150,III, , , , ," 
"
-122.33357747038,47.5921744360732,23,350025,0,350,141 Hot Dog,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
-122.350946910436,47.6684202087285,24,350026,0,350,1899 Grove @ Woodland Park Zoo,1899 Grove @ Woodland Park Zoo,5500 PHINNEY AVE N,98103,Seattle,(206) 545-2042,Seating 0-12,III, , , , ," 
"
-122.350313421296,47.6516966194417,25,350027,0,350,19 Gold,19 Gold,3601 FREMONT AVE N STE 101,98103,Seattle,(206) 883-6870,Seating 13-50,III, , , , ," 
"
-122.270326045572,47.5327733333523,26,350028,0,350,1St Union Store,1St Union Store,7729 RAINIER AVE S,98118,Seattle,(206) 721-1980,Grocery Store-no seating,I, , , , ," 
"
-122.358314259299,47.520596189513,27,350029,0,350,2 Fingers  Social,2 Fingers  Social,9211 DELRIDGE WAY SW,98106,Seattle,(702) 302-7083,Seating 13-50,III, , , , ," 
"
-122.152079371998,47.7679612187494,28,350030,0,350,20 Corners Brewing Co.,20 Corners Brewing Co.,14148 NE 190TH ST,98072,Woodinville,(425) 375-5223,Seating 51-150,III, , , , ," 
"
-122.325910589208,47.6356872786266,29,350031,0,350,20 Oz Tea,20 Oz Tea,1823 EASTLAKE AVE E 160,98102,Seattle,(206) 355-1491,Seating 13-50,III, , , , ," 
"
-122.180169998975,47.7125099993133,30,350032,0,350,203 Degrees Fahrenheit Coffee,203 Degrees Fahrenheit Coffee,11901 NE VILLAGE PL STE 171,98034,Kirkland,(206) 227-4293,Seating 13-50,II, , , , ," 
"
-122.340929999074,47.6611999989344,31,350033,0,350,206 Burger,206 Burger,1329 N 45TH ST STE 109,98103,Seattle,(206) 805-9222,Seating 13-50,III, , , , ," 
"
-122.32614809993,47.6090551623037,32,350034,0,350,206 Burger Company,206 Burger Company,1000 MADISON ST,98104,Seattle,(206) 735-7069,Seating 13-50,III, , , , ," 
"
-122.157095520073,47.7501674788825,33,350035,0,350,21 Acres Market,21 Acres Market,13701 NE 171ST ST,98072,Woodinville,(425) 481-1500,Seating 0-12,III, , , , ," 
"
-122.340143351515,47.6157771394758,34,350036,0,350,2120,2120,2120 6TH AVE,98121,Seattle,(206) 829-8700,Seating 51-150,III, , , , ," 
"
-122.228815702648,47.4116301231647,35,350037,0,350,212Th Chevron,212Th Chevron,8315 S 212TH ST,98032,Kent,(206) 283-4764,Seating 0-12,III, , , , ," 
"
-122.297552397589,47.6077428090662,36,350038,0,350,23Rd & Cherry Fellowship Hall,23Rd & Cherry Fellowship Hall,2701 E CHERRY ST,98122,Seattle,(206) 325-4388,Seating 13-50,III, , , , ," 
"
-122.311180000488,47.4960949992215,37,350039,0,350,24/7 Convenience Store,24/7 Convenience Store,11851 GLENDALE WAY S,98168,Seattle,(206) 841-6123,Grocery Store-no seating,I, , , , ," 
"
-122.33357747038,47.5921744360732,38,350040,0,350,249 Sound Seafood,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,III, , , , ," 
"
-122.294741760096,47.71955073926,39,350041,0,350,2C Thaibistro & Spirits,2C Thaibistro & Spirits,12506 LAKE CITY WAY NE,98125,Seattle,(425) 786-7169,Seating 13-50,III, , , , ," 
"
-122.345632114814,47.6137836653172,40,350042,0,350,2Nd Ave Grocery,2Nd Ave Grocery,2237 2ND AVE,98121,Seattle,(206) 306-5773,Grocery Store-no seating,I, , , , ," 
"
-122.29019619042,47.5389326294601,41,350043,0,350,3 Little Sisters Filipino Deli,3 Little Sisters Filipino Deli,7054 32ND AVE S,98118,Seattle,(206) 430-4418,Mobile Food Unit,III, , , , ," 
"
-122.362509999714,47.5516799986883,42,350044,0,350,312 Pizza Company,312 Pizza Company,5604 DELRIDGE WAY SW,98106,Seattle,(203) 339-3337,Caterer,III, , , , ," 
"
-122.33357747038,47.5921744360732,43,350045,0,350,314 Incrediberrie'S,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
-122.362721841418,47.5516713287341,44,350046,0,350,314 Pie,314 Pie,801 26TH AVE E,98112,Seattle,(512) 304-3590,Mobile Food Unit,III, , , , ," 
"
-122.33357747038,47.5921744360732,45,350047,0,350,329 Big Cheese,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
-122.33357747038,47.5921744360732,46,350048,0,350,331 Pop Corn,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I, , , , ," 
"
-122.33357747038,47.5921744360732,47,350049,0,350,338 Boxscore Bar,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Mobile Food Unit,III, , , , ," 
"
-122.342245860029,47.6517925691873,48,350050,0,350,36 Stone,36 Stone,3636 STONE WAY N,98103,Seattle,(425) 268-3211,Seating 51-150,III, , , , ," 
"
-122.339933105328,47.6120226703705,49,350051,0,350,3Rd Ave Cafe,3Rd Ave Cafe,1908 3RD AVE,98101,Seattle,(206) 622-7778,Seating 13-50,III, , , , ," 
"
-122.296458948708,47.4000023991126,50,350052,0,350,4 Points Sheraton Bistro Kitchen,4 Points Sheraton Bistro Kitchen,22406 PACIFIC HWY S,98198,Des Moines,,Seating 51-150,III, , , , ," 
"
-122.334141712404,47.4409076736133,51,350053,0,350,401- Burien 76,401- Burien 76,18032 1ST AVE S,98148,Burien,(760) 518-8568,Grocery Store-no seating,I, , , , ," 
"
-122.194301145479,47.5327036208166,52,350054,0,350,405 Express Mini Market,405 Express Mini Market,1800 NE 44TH ST,98056,Renton,(425) 647-9355,Grocery Store-no seating,I, , , , ," 
"
-122.330453209536,47.6612592628442,53,350055,0,350,45 Stop-N-Go & Sushi Deli,45 Stop-N-Go & Sushi Deli,2323 N 45TH ST,98103,Seattle,(206) 678-2270,Seating 0-12,III, , , , ," 
"
-122.337508706994,47.6182713122418,54,350056,0,350,45Th Poke Bar,45Th Poke Bar,2121 TERRY AVE #104,98121,Seattle,(206) 678-2270,Seating 13-50,II, , , , ," 
"
-122.334435027099,47.6612037118706,55,350057,0,350,4649 Restaurant,4649 Restaurant,1913 N 45TH ST,98103,Seattle,(206) 547-4649,Seating 13-50,III, , , , ," 
"
-122.364521056059,47.659110593629,56,350058,0,350,4B'S Tavern,4B'S Tavern,4300 LEARY WAY NW,98107,Seattle,(425) 442-1329,Seating 51-150,III, , , , ," 
"
-122.324233700669,47.7029223593394,57,350059,0,350,5 Guys Seattle Burgers,5 Guys Seattle Burgers,311 NE 103rd ST,98125,Seattle,(801) 859-4448,Seating 13-50,III, , , , ," 
"
-122.197937623396,47.4450422013042,58,350060,0,350,5 Hermanos Mexican Restaurant,5 Hermanos Mexican Restaurant,10705 SE CARR RD,98055,Renton,(206) 419-4646,Seating 151-250,III, , , , ," 
"
-122.144072750529,47.586662015937,59,350061,0,350,5 Stones Coffee Co,5 Stones Coffee Co,2649 LANDERHOLM CIR SE,98007,Bellevue,(425) 502-8642,Seating 13-50,III, , , , ," 
"
-122.327914162116,47.598299103944,60,350062,0,350,505 Dimples Gift & Sundries,505 Dimples Gift & Sundries,505 5TH AVE S 190,98104,Seattle,(206) 643-0421,Grocery Store-no seating,I, , , , ," 
"
-122.02335550841,47.3616967493725,61,350063,0,350,516 Bar & Grill,516 Bar & Grill,23846 SE KENT KANGLEY RD #E-11,98038,Maple Valley,(455) 433-7199,Seating 151-250,III, , , , ," 
"
-122.204398668316,47.610393857346,62,350064,0,350,520 Bar & Grill,520 Bar & Grill,10146 MAIN ST,98004,Bellevue,(425) 454-4141,Seating 13-50,III, , , , ," 
"
-122.35458006068,47.6225037388407,63,350065,0,350,550 Level W Bar,Arena At Seattle Center,334 1ST AVE N,98109,Seattle,(206) 437-1240,Seating 0-12,III, , , , ," 
"
-122.332448023777,47.6685054861879,64,350066,0,350,56Th Street Market,56Th Street Market,2201 N 56TH ST,98103,Seattle,(206) 402-3699,Grocery Store-no seating,I, , , , ," 
"
-122.325304000594,47.6758049993897,65,350067,0,350,65Th St Cafe & Restaurant,65Th St Cafe & Restaurant,301 NE 65TH ST,98115,Seattle,(206) 522-5585,Seating 13-50,III, , , , ," 
"
-122.324491345883,47.5973779753285,66,350068,0,350,663 Bistro,663 Bistro,663 S WELLER ST,98104,Seattle,(206) 349-2544,Seating 51-150,III, , , , ," 
"
-122.308767009832,47.4981739237347,67,350069,0,350,7- Eleven #23931F,7- Eleven #23931F,11657 DES MOINES MEMORIAL DR S,98168,Seattle,,Seating 0-12,III, , , , ," 
"
-122.245305481639,47.4411486513333,68,350070,0,350,7-Eleven - 34144B,7-Eleven - 34144B,18012 68TH AVE S,98032,Kent,(425) 251-3934,Seating 0-12,III, , , , ," 
"
-122.228540639503,47.3079345989416,69,350071,0,350,7-Eleven # 38940,7-Eleven # 38940,15 AUBURN AVE,98002,Auburn,(403) 977-3551,Seating 0-12,III, , , , ," 
"
-122.355413648371,47.5340090570364,70,350072,0,350,7-Eleven #14470B,7-Eleven #14470B,1600 SW HOLDEN ST,98106,Seattle,(206) 763-1415,Seating 0-12,III, , , , ," 
"
-122.295392545933,47.3944356248584,71,350073,0,350,7-Eleven #14476F,7-Eleven Store #14476F,2904 S KENT DES MOINES RD,98198,Des Moines,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.292118630817,47.445687085835,72,350074,0,350,7-Eleven #15525E,7-Eleven #15525E,3120 S 176TH ST,98188,Seattle,(972) 828-6928,Seating 0-12,III, , , , ," 
"
-122.387987648136,47.673604738007,73,350075,0,350,7-Eleven #16365L,7-Eleven #16365L,6111 24TH AVE NW,98107,Seattle,,Seating 0-12,III, , , , ," 
"
-122.387127971036,47.5588039458642,74,350076,0,350,7-Eleven #16547P,7-Eleven #16547P,4812 ERSKINE WAY SW,98116,Seattle,(253) 796-7151,Seating 0-12,III, , , , ," 
"
-122.344104163937,47.6826132811424,75,350077,0,350,7-Eleven #19042G,7-Eleven #19042G,7314 AURORA AVE N,98103,Seattle,(206) 522-7066,Seating 0-12,III, , , , ," 
"
-122.247964238628,47.3870385791635,76,350078,0,350,7-Eleven #22671B,7-Eleven #22671B,711 WASHINGTON AVE N,98032,Kent,(253) 852-5554,Seating 0-12,III, , , , ," 
"
-122.208209848617,47.7205146423736,77,350079,0,350,7-Eleven #2360-27304B,7-Eleven #2360-27304B,13335 100TH AVE NE,98034,Kirkland,(425) 402-1355,Seating 0-12,III, , , , ," 
"
-122.313088746493,47.71916795509,78,350080,0,350,7-Eleven #23895D,7-Eleven #23895D,12355 15TH AVE NE,98125,Seattle,(206) 363-9454,Seating 0-12,III, , , , ," 
"
-122.195609999735,47.7333699988091,79,350081,0,350,7-Eleven #23930C,7-Eleven #23930C,14501 JUANITA WOODINVILLE WAY NE,98011,Bothell,(425) 268-8450,Seating 0-12,III, , , , ," 
"
-122.301665112705,47.3436802912631,80,350082,0,350,7-Eleven #26268D,7-Eleven #26268D,28719 MILITARY RD S,98003,Federal Way,(206) 725-8421,Seating 0-12,III, , , , ," 
"
-122.244608098066,47.4578314101342,81,350083,0,350,7-Eleven #27030B,7-Eleven #27030B,680 STRANDER BL,98188,Tukwila,(425) 228-8000,Seating 0-12,III, , , , ," 
"
-122.220929910343,47.3267205562409,82,350084,0,350,7-Eleven #27219C,7-Eleven #27219C,2202 AUBURN WAY N,98002,Auburn,(850) 577-9090,Seating 0-12,III, , , , ," 
"
-122.295873758399,47.4223933162254,83,350085,0,350,7-Eleven #27742B,7-Eleven #27742B,20008 PACIFIC HWY S,98198,Seattle,(972) 828-6928,Seating 0-12,III, , , , ," 
"
-122.370430318365,47.6631556433798,84,350086,0,350,7-Eleven #32945H,7-Eleven #32945H,999 NW LEARY WAY,98107,Seattle,(972) 828-6927,Seating 0-12,III, , , , ," 
"
-122.16482239856,47.4889107192083,85,350087,0,350,7-Eleven #34636B,7-Eleven #34636B,4020 NE 4th ST #A,98056,Renton,(425) 430-7941,Seating 0-12,III, , , , ," 
"
-122.197517158332,47.4448628094279,86,350088,0,350,7-Eleven #35056A,7-Eleven #35056A,17615 108TH AVE SE,98055,Renton,(877) 711-4422,Seating 0-12,III, , , , ," 
"
-122.228376746733,47.2938280107757,87,350089,0,350,7-Eleven #35333B,7-Eleven #35333B,1602 A ST SE,98002,Auburn,(253) 939-6710,Seating 0-12,III, , , , ," 
"
-122.335838501805,47.6160286292666,88,350090,0,350,7-Eleven #35532B,7-Eleven #35532B,819 VIRGINIA ST UNIT C-1,98101,Seattle,(206) 623-0413,Seating 0-12,III, , , , ," 
"
-122.334463931575,47.6025152593237,89,350091,0,350,7-Eleven #35541B,7-Eleven #35541B,627 1ST AVE,98104,Seattle,(206) 467-5979,Seating 0-12,III, , , , ," 
"
-122.201793419129,47.3866542790531,90,350092,0,350,7-Eleven #35675A,7-Eleven #35675A,24012 104th AVE SE,98030,Kent,(253) 854-2039,Seating 0-12,III, , , , ," 
"
-122.392420248147,47.3150150890297,91,350093,0,350,7-Eleven #35872A,7-Eleven #35872A,4615 SW 320TH ST,98023,Federal Way,(604) 586-1507,Seating 0-12,III, , , , ," 
"
-122.332748811875,47.6046983990973,92,350094,0,350,7-Eleven #37068A,7-Eleven #37068A,810 3RD AVE STE 820,98104,Seattle,(206) 682-2866,Seating 0-12,III, , , , ," 
"
-122.201034160112,47.6094994493703,93,350095,0,350,7-Eleven #37558A,7-Eleven #37558A,100 BELLEVUE WAY SE,98004,Bellevue,(425) 343-4341,Seating 0-12,III, , , , ," 
"
-122.316123819003,47.6629855688717,94,350096,0,350,7-Eleven #37755A,7-Eleven #37755A,1105 NE 47th ST,98105,Seattle,(972) 828-7656,Seating 0-12,III, , , , ," 
"
-122.228810110023,47.4005898891296,95,350097,0,350,7-Eleven #38597A,7-Eleven #38597A,22422 83RD AVE S,98032,Kent,(206) 507-9531,Seating 0-12,III, , , , ," 
"
-122.175711613288,47.3229937721527,96,350098,0,350,7-Eleven #38700 A,7-Eleven #38700 A,12400 SE 312TH ST,98092,Auburn,(206) 403-5764,Seating 0-12,III, , , , ," 
"
-122.000570837385,47.2068633796048,97,350099,0,350,7-Eleven #38805A,7-Eleven #38805A,2415 GRIFFIN AVE,98022,Enumclaw,(850) 577-9090,Seating 0-12,III, , , , ," 
"
-122.204088960389,47.3867985630097,98,350100,0,350,7-Eleven #38806A,7-Eleven #38806A,10255 SE 240TH ST,98031,Kent,(206) 271-7503,Seating 0-12,III, , , , ," 
"
-122.197490000906,47.416202999323,99,350101,0,350,7-Eleven #38807A,7-Eleven #38807A,20727 108TH AVE SE,98031,Kent,(253) 285-6878,Seating 0-12,III, , , , ," 
"
-122.227794426682,47.3951640780006,100,350102,0,350,7-Eleven #39639A,7-Eleven #39639A,1208 CENTRAL AVE N,98032,Kent,(206) 841-3355,Seating 0-12,III, , , , ," 
"
-122.283086007032,47.3154357708071,101,350103,0,350,7-Eleven #39836A,7-Eleven #39836A,31980 MILITARY RD S,98001,Auburn,(253) 839-0101,Seating 0-12,III, , , , ," 
"
-122.330811628797,47.6172086263454,102,350104,0,350,7-Eleven #41883A,7-Eleven #41883A,1830 MINOR AVE,98101,Seattle,(972) 828-6928,Seating 0-12,III, , , , ," 
"
-122.222040404612,47.3209586223325,103,350105,0,350,7-Eleven #42046H,7-Eleven #42046H,1501 AUBURN WAY N,98002,Auburn,(253) 326-0603,Seating 0-12,III, , , , ," 
"
-122.318316253856,47.2903291095044,104,350106,0,350,7-Eleven #42048H,7-Eleven #42048H,34727 PACIFIC HWY S,98003,Federal Way,(206) 231-9101,Seating 0-12,III, , , , ," 
"
-122.386740642766,47.5813575563747,105,350107,0,350,7-Eleven 14436,7-Eleven 14436E,4312 SW ADMIRAL WAY SW,98116,Seattle,(425) 271-5030,Seating 0-12,III, , , , ," 
"
-122.121080710642,47.6769282752439,106,350108,0,350,7-Eleven 2360-14402D,7-Eleven Store #2360-14402D,8316 164TH AVE NE,98052,Redmond,(425) 885-5676,Seating 0-12,III, , , , ," 
"
-122.15319170933,47.7541172916157,107,350109,0,350,7-Eleven 2360-21833J,7-Eleven Store #2360-21833C,13923 NE 175TH ST,98072,Woodinville,(206) 276-0226,Seating 0-12,III, , , , ," 
"
-122.295629328542,47.4325376963614,108,350110,0,350,7-Eleven Store -2361 26818F,7-Eleven Store -2361 26818F,19023 PACIFIC HWY S,98188,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.186484599875,47.4521012892995,109,350111,0,350,7-Eleven Store #14441A,7-Eleven Store #14441A,11505 SE 168TH ST,98055,Renton,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.342519885468,47.763564257787,110,350112,0,350,7-Eleven Store #17257B,7-Eleven Store #17257B,1232 N 185TH ST,98133,Shoreline,(206) 546-3637,Seating 0-12,III, , , , ," 
"
-122.260604391456,47.476756414194,111,350113,0,350,7-Eleven Store #17438J,7-Eleven Store #17438J,14057 INTERURBAN AVE S,98168,Seattle,,Seating 0-12,III, , , , ," 
"
-122.312760614446,47.7518731639205,112,350114,0,350,7-Eleven Store #22625D,7-Eleven Store #22625D,16920 15TH AVE NE,98155,Shoreline,(206) 362-1514,Seating 0-12,III, , , , ," 
"
-122.258086507977,47.4877808879804,113,350115,0,350,7-Eleven Store #23525F,7-Eleven Store #23525F,12848 M L KING JR WAY S,98178,Seattle,(206) 772-3112,Seating 0-12,III, , , , ," 
"
-122.317080587241,47.6957472777912,114,350116,0,350,7-Eleven Store #2360-14355G,7-Eleven Store #2360-14355G,9126 ROOSEVELT WAY NE,98115,Seattle,(206) 522-6231,Seating 0-12,III, , , , ," 
"
-122.398679590383,47.6677206714903,115,350117,0,350,7-Eleven Store #2360-14360A,7-Eleven Store #2360-14360A,3200 NW 54TH ST,98107,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.30971501833,47.6889474831404,116,350118,0,350,7-Eleven Store #2360-14373C,7-Eleven Store #2360-14373C,8250 LAKE CITY WAY NE,98115,Seattle,(206) 522-2711,Seating 0-12,III, , , , ," 
"
-122.357327409892,47.6491866279017,117,350119,0,350,7-Eleven Store #2360-14392B,7-Eleven Store #2360-14392B,9 NICKERSON ST,98109,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.200923872053,47.5186851787309,118,350120,0,350,7-Eleven Store #2360-14408F,7-Eleven Store #2360-14408F,1308 N 30TH ST,98056,Renton,(425) 283-3212,Seating 0-12,III, , , , ," 
"
-122.132925888744,47.6321679394064,119,350121,0,350,7-Eleven Store #2360-14418A,7-Eleven Store #2360-14418A,15521 NE BELLEVUE REDMOND RD,98007,Bellevue,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.143474390036,47.6100708478958,120,350122,0,350,7-Eleven Store #2360-17355E,7-Eleven Store #2360-17355E,15 148TH AVE NE,98007,Bellevue,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.342927410804,47.6551035355105,121,350123,0,350,7-Eleven Store #2360-18553D,7-Eleven Store #2360-18553D,3939 STONE WAY N,98103,Seattle,(425) 771-5458,Seating 0-12,III, , , , ," 
"
-122.1424731796,47.6545132192472,122,350124,0,350,7-Eleven Store #2360-19338D,7-Eleven Store #2360-19338D,5040 148TH AVE NE,98052,Redmond,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.174927788145,47.7310672049803,123,350125,0,350,7-Eleven Store #2360-19911D,7-Eleven Store #2360-19911D,14340 124TH AVE NE,98034,Kirkland,,Seating 0-12,III, , , , ," 
"
-122.349299704469,47.6187523454411,124,350126,0,350,7-Eleven Store #2360-23109D,7-Eleven Store #2360-23109D,362 DENNY WAY,98109,Seattle,(425) 397-7143,Seating 0-12,III, , , , ," 
"
-122.304014409864,47.5852103016193,125,350127,0,350,7-Eleven Store #2360-24497C,7-Eleven Store #2360-24497C,2009 RAINIER AVE S,98144,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.378591861955,47.6689446953538,126,350128,0,350,7-Eleven Store #2360-25525D,7-Eleven Store #2360-25525D,1550 NW MARKET ST,98107,Seattle,,Seating 0-12,III, , , , ," 
"
-122.355076262472,47.719926906986,127,350129,0,350,7-Eleven Store #2360-26055B,7-Eleven Store #2360-26055B,300 N 125TH ST,98133,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.355213325217,47.6527899498889,128,350130,0,350,7-Eleven Store #2360-26544C,7-Eleven Store #2360-26544C,304 N 36TH ST,98103,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.289232196144,47.472695321792,129,350131,0,350,7-Eleven Store #2361-14443D,7-Eleven Store #2361-14443D,14462 34TH AVE S,98168,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.35968836539,47.5217700774394,130,350132,0,350,7-Eleven Store #2361-14463E,7-Eleven Store #2361-14463E,9041 DELRIDGE WAY SW,98106,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.165902415915,47.3865287524593,131,350133,0,350,7-Eleven Store #2361-20188E,7-Eleven Store #2361-20188E,13131 SE 240TH ST,98031,Kent,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.283899674431,47.4758905949493,132,350134,0,350,7-Eleven Store #2361-22866C,7-Eleven Store #2361-22866C,14207 PACIFIC HWY S,98168,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.22170578968,47.3404979338881,133,350135,0,350,7-Eleven Store #2361-22984E,7-Eleven Store #2361-22984E,3702 AUBURN WAY N,98002,Auburn,(253) 796-7151,Seating 0-12,III, , , , ," 
"
-122.313114607561,47.3241069736321,134,350136,0,350,7-Eleven Store #2361-23228C,7-Eleven Store #2361-23228C,31006 PACIFIC HWY S,98003,Federal Way,(253) 796-7151,Seating 0-12,III, , , , ," 
"
-122.387166413133,47.5699586854187,135,350137,0,350,7-Eleven Store #2361-24404B,7-Eleven Store #2361-24404B,3801 CALIFORNIA AVE SW,98116,Seattle,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.323365042176,47.3971024273102,136,350138,0,350,7-Eleven Store #2361-27283C,7-Eleven Store #2361-27283C,820 KENT DES MOINES RD,98198,Des Moines,(253) 796-7155,Seating 0-12,III, , , , ," 
"
-122.228272797558,47.2722077113635,137,350139,0,350,7-Eleven Store #23938E,7-Eleven Store #23938E,4026 A ST SE,98002,Auburn,(253) 850-0326,Seating 0-12,III, , , , ," 
"
-122.194202594596,47.4883625527701,138,350140,0,350,7-Eleven Store #24410B,7-Eleven Store #24410B,404 SUNSET BL N,98057,Renton,(972) 828-7656,Seating 0-12,III, , , , ," 
"
-122.230853948856,47.377612597948,139,350141,0,350,7-Eleven Store #25303D,7-Eleven Store #25303D,511 S CENTRAL AVE,98032,Kent,(253) 796-7151,Seating 0-12,III, , , , ," 
"
